Periodo,analfabetos,primaria,secundaria,superiores
1970,18.5,79.400000000000006,1.3999999999999999,0.69999999999999996
1981,21.399999999999999,73,4,1.6000000000000001
1991,10.800000000000001,79.400000000000006,6.9000000000000004,2.7999999999999998
2001,8.0999999999999996,72.200000000000003,15.800000000000001,3.8999999999999999
2011,5.7999999999999998,59,27.699999999999999,7.5
2021,1.0,43.2,41.5,14.3
2022,0.9,40.4,42.8,15.9
